Pregunta,respuesta,Tema,Pers/empresa,Polarity,Nota,ambiguedad
"En representación de la empresa INTUITO S.A se extiende el presente informativo para brindar el servicio de Sistema de Facturación Electrónica de acuerdo a los requerimientos del SRI:

Principales Beneficios del Sistema de Facturación Electrónica de Intuito S.A.

Genera los 5 comprobantes electrónicos: Factura, Comprobante de Retención, Nota de Crédito, Nota de Débito y Guía de Remisión.
Cada uno de los servicios incluye mantenimiento de documentos tributarios electrónicos.
Proceso de firmado, encriptar y enviar los documentos al SRI para su respectiva validación u autorización.
Portal Web de descarga de XML y PDF para administrador y clientes.
Envío automático por correo de XML y PDF al cliente o proveedor.
Soporta Multiempresa.
Generación de reportes en Excel.
Multiestablecimiento.
Visualización previa de RIDE o PDF
Integración ERP(costo adicional).
Sistema facturador facil de usar, accede a un video:",,Facturacion/Retencion/Cobros,,,,
en su pagina indica áreas de Capacitación y dice Seguros a que se refiere?,,Charlas/Capacitaciones,,,,
"En uno de los enclaves ya clásicos para el disfrute de los deportes y actividades en contacto con la naturaleza, la vertiente oriental del Parque Nacional de Ordesa, se ubica este acogedor refugio de montaña. El aire puro de los Pirineos y del Monte Perdido, las limpias aguas del río Cinca o la tradición presente en la iglesia románica de Nuestra Señora de la Pineta, propician una cálida sensación de bienestar, paz y tranquilidad. Todas las habitaciones poseen hermosas vistas de este bello enclave natural. De la cocina del comedor Alto Aragón resultan sencillos pero sabrosos platos: migas aragonesas, trucha del Cinca a lo fino, cordero asado, chuletas de cerdo o postres típicos de la región.",,No Topic,,,,
entregan,,No Topic,,,,
Enviaremos la cotización,,No Topic,,,,
Envío mi cv para una oportunidad laboral,,trabaje con nosotros,,,,
"es conveniente el cálculo actuarial desde los inicios de la actividad de la empresa, o se lo debe hacer después de que tiempo?.
es para todos los trabajadores o es necesario un número de años de servicios para el respectivo cálculo?",,Jubilacion Patronal,,,,
es en quito,,No Topic,,,,
Es lo mismo el desahucio que el despido intempestivo?,,Renuncia/Despido/Desahucio,,,,
es posible adquirir este beneficio de hipoteca inversa hoy en día en Ecuador?,,Consultoria,,,,
Es verdad lo que comenta sobre la jubilación con carnet de discspacidad?,,IESS,,,,
Espantoso el servicio del personal,,Queja,,,,
"espero me puedan ayudar con esta informacion.de ante mano muchas gracias
cuales son las ventajas y desventajas del cálculo de la media geométrica y aritmética en el cálculo realizado en el IESS.",,IESS,,,,
estado de resultados,,Otros servicios,,,,
Estan al tanto de lo nuevo en Data Science?,,Consultoria,,,,
"Estan buscando perfiles, donde puedo enviar mi cv?",,trabaje con nosotros,,,,
Estan contratando?,,trabaje con nosotros,,,,
estan en Quito uds ??,,Contacto,,,,
estaré esperando el,,No Topic,,,,
estilo,,No Topic,,,,
"Estimada Andre,

He revisado las notas técnicas, las tarifas del plan Black no son las mismas que nos habías pasado en esta semana a que se debe este cambio?? 

Saludos cordiales, ",,Consultoria,,,,
Estimada buenas tardes pregunta a que se refiere con provisiones futuras dentro de un estudio actuarial y eso debe ser contabilizado,,Jubilacion Patronal,empresa,0,,
Estimada Daniela. Mi consulta va en este sentido al momento me falta 4 años para jubilarme si mejoro mi aporte mejora mi pension queria saber que valor se paga de aporte si lo hago sobre sueldo de 500 dólares. Gracias de antemano.,,IESS,,,,
"Estimada Domenica, una consulta estoy revisando el cuestionario pero  en relación a la información que se solicita se entregue por ramos  de seguros, no podríamos aplicar ya que solo se tiene medicina prepagada en este caso el detalle es unicamente sobre este concepto o hay que bajar no se talvez a nivel de producto.(corporativo, individual, etc).
",,Consultoria,,,,
Estimada: cual es el calculo de para saber el valor del montepio de una persona de 50 años aportando de manera voluntaria por 1500 mesnuales,,IESS,,,,
"Estimado Mario,

 

Por favor tu ayuda desarrollando las Notas Técnicas para los nuevos Planes Empresariales.

 

Para ello adjunto las matrices de coberturas y es importante considerar que se le incluirá el beneficio de Seguro de Vida de Muerte por cualquier causa al Titular del núcleo.

 

Agradezco de antemano tu atención.",,Consultoria,,,,
"Estimados Actuaria buenas tardes
su ayuda por favor",,Greeting,,,,
ESTIMADOS BUENAS TADER TARDES,,Greeting,,,,
"Estimados buenas tardes
necesito una cotización para estudio actorial",,Jubilacion Patronal,,,,
"Estimados Buenas tardes, le saluda Karina Cifuentes de Jassatelecom, a traves del presente solicito su ayuda en la cotizacion de un calculo Actuarial.
en espera de sus comentarios
saludos cordiales.",,Jubilacion Patronal,,,,
Estimados buenos dias somos clientes de Actuaria(Magnolia RUC 0992876905001 y nos están consultando uds qué tasa aplicar para el estudio actuarial ya que somo NIIF Full Por favor ayúdeme indicando el numero de resolucion de la SUPERCIAS que aclaró este tema para proceder a responderle,,Jubilacion Patronal,empresa,0,,
Estimados este cambio a la tasa aplica en el informe de actuaria que nos emitieron correspondiente al 2016.?,,Jubilacion Patronal,,,,
Estimados muy buenos días aproximadamente hace un mes estuve en un desayuno acerca de la situación del Iess y la afiliación de los representantes legales,,IESS,,,,
"Estimados Señores Actuaria reciban un cordial saludo, para el calculo del fondo global o fondo vitalicio de un Colaborador que tiene 33 años de trabajos y esta solicitando Jubilacion Patronal;es indispensable realizar el calculo a traves de la Actuaria.Su edad actual es 64 años.
Espero sus comentarios.
Gracias.",,Jubilacion Patronal,,,,
ESTIMADOS UN INFORME ACTUARIAL CADA CUANTOS AÑOS SE LO REALIZA,,Jubilacion Patronal,empresa,0,,
"estimados
necesito una cotizacion de serv de consultoria actuarial
mariuximoran1",,Jubilacion Patronal,,,,
"Estimados, mi papá tiene 63 años y 3 años de aportación por afiliación voluntaria, se podrá Jubilar al IESS a los 65 años con 5 años de aportación?.",,IESS,,,,
"Estimados, porfa cambien el texto de condiciones sanitarias y el clausulado para las notas técnicas individuales.

 

En cuanto al anexo de tarifa cero, únicamente se debe reemplazar el titular por ""Anexo Tarifa 0 (Cero) (Prestaciones de prevención primaria)

 ",,Consultoria,,,,
"Estimados, Quiero saber mas sobre el servicio de valoracion actuarial, y sus costos",,Jubilacion Patronal,empresa,0,,
"Estimados, respecto al comunicado de la supercias concluye que Ecuador cuenta con un mercado de bonos corporativos de alta calidad, cuyas características se pueden asociar a un mercado amplio. Respecto a los estudios actuariales 2017 se considerará los bonos locales y con efecto retroactivo?",,Jubilacion Patronal,,,,
Estoy bien,,Hi Five,,,,
"estoy llamando a sus numeros en guayaquil 
pero no me responden 
con quien puedo conversar",,Contacto,,,,
estructura organizacional,,Otros servicios,,,,
"Estudiar clima laboral de nuestra organización o empresa sera favorable pues tendrá efectos positivos en las actitudes dirigidas al trabajo, así como su desenvolvimiento con los demás y sus tareas de su respectiva área laboral del personal. Esto hará que se fortalezca la empresa internamente y logrando mejorar para los clientes externos. Introducir un software que registre datos de las necesidades de empelados y su clima, resumirá tiempos y optimizara resultados que nos mencionen que áreas y que circunstancias debemos atender.",,Consultoria,,,,
estudio,,No Topic,,,,
estudio de ,,No Topic,,,,
estudios de es ,,No Topic,,,,
Estudios de factibilidad financiera para garantizar la sostenibilidad empresarial en el largo plazo.,,Otros servicios,,,,
Evaluación 360,,Consultoria,,,,
Evaluación de Estado de Resultados e Indicadores,,Otros servicios,,,,
"excelente 
gracias me despido ",,Hi Five,,,,
Excelente apoyo,,Hi Five,,PP,,
excelente gestión,,Hi Five,,,,
Excelente página ..,,Hi Five,,,,
Excelente tarde,,Hi Five,,,,
"excelente
gracias me despido",,Hi Five,,,,
"Excelente, Gracias",,Hi Five,,,,
existen seguros para mi perro,,Consultoria,,,,
EXITOS Y BENDICIONES.....!!!.,,Hi Five,,,,
FAVOR ENVIAR COTIZACION PARA ESTUDIO ACTUARIAL DE LA EMPRESA ENVATUB S.A RUC 1792332583001 APROX 42 PERSONAS....correo: diefer1710@hotmail.com     Gracias,,Jubilacion Patronal,,,,
favor su ayuda con un correo electronico,,Contacto,,,,
Felicitaciones por el servicio en línea que prestan.,,Hi Five,,,,
Felicitaciones por este servicio on-line.,,Hi Five,,,,
felicitaciones sigan adelante,,Hi Five,,,,
Felicitaciones srs actuaria por su buen servicio,,Hi Five,,,,
felicitaciones!!,,Hi Five,,,,
"Gabriela trabaja en una tienda de ropa. Ella ama su trabajo porque le gusta la moda y disfruta recomendar a los clientes la ropa más adecuada según sus gustos y necesidades.

Por la mañana, una cliente le pide ayuda para elegir ropa formal para una entrevista de trabajo. Gabriela le recomienda una camisa blanca y una falda gris, con unos zapatos que combinan con su bolso. El cielo está nublado, así que lleva un paraguas por si acaso.

Más tarde, otra cliente pide ayuda para elegir el mejor regalo para su novio. Gabriela le muestra unas corbatas muy bonitas, un elegante reloj y unas modernas gafas de sol. Ella se decide por una corbata a rayas rojo y azul.

Un cliente va a comprar ropa para sus vacaciones en la playa. Elije unos pantalones cortos, un sombrero para protegerse del sol y una camisa de algodón.

Poco antes de cerrar la tienda, llega un hombre muy apurado porque debe hacer un viaje a Finlandia y no tiene ropa abrigada. Gabriela le sugiere que lleve unas botas, una bufanda para cubrir su cara y una gruesa chaqueta. Asi es, Gabriela ama su trabajo",,No Topic,,,,
generador de electricidad,,No Topic,,,,
gestion financiera,,Otros servicios,,,,
ggarofalo@cargoline.ec gardenia garofalo de la empresa Cargoline del Ecuador S.A. ..Por favor indicarme el costo por la estimación actuarial JUBILACION Y DESAHUCIO de 4 empleados.,,Jubilacion Patronal,empresa,0,,ambivalente
ggarofalo@cargoline.ec gardenia garofalo de la empresa Cargoline del Ecuador S.A. ..Por favor indicarme el costo por la estimación actuarial JUBILACION Y DESAHUCIO de 4 empleados.,,Renuncia/Despido/Desahucio,persona,0,,ambivalente
gracais,,No Topic,,,,
gracias,,Hi Five,,,,
"Gracias 
Un excelente día",,Hi Five,,,,
Gracias Actuaria por su fiel compromiso de apoyo a nuestros niños en Fundación Caminitos de Luz,,Hi Five,,,,
gracias por ayudarme,,Hi Five,,,,
Gracias por despejar algúnas interrogantes,,Hi Five,,,,
Gracias por esta tan valiosa aportacion,,Hi Five,,,,
"Gracias por esta tan valiosa aportacion, me gusto en analisis, es claro que exite un fundamento para llegar a estas conclusiones, me han hecho reflexionar un poco mas en ellos y creo que aun hay algunas cosas que hacer al respecto en mi organización. Me parece que la medicion de clima laboral es muy util para las empresas y organizaciones para generar planes de mejora en sus procesos internos.",,Consultoria,,,,
gracias por la aclaración,,Hi Five,,,,
Gracias por mantener contacto en línea. Felicitaciones por este servicio.,,Hi Five,,,,
gracias por responder mi consulta,,Hi Five,,,,
gracias por ser tan buenos,,Hi Five,,,,
Gracias por su atención y servicio,,Hi Five,,,,
gracias por su tiempo,,Hi Five,,,,
Gracias requiero el valor de una acta de finiquito por favor,,Renuncia/Despido/Desahucio,persona,0,,
gran trabajo,,Hi Five,,,,
grande y fuerte,,No Topic,,,,
grasa y destape,,No Topic,,,,
"Gusto en saludarte, por medio del presente solicito de tu buena gestión en poder actualizar el condicionado adjunto, en la NT de Asistencia Médica, ya que recibimos solicitud de correcciones por parte del ACESS y estas ya fueron realizadas.",,Consultoria,,,,
hace mas de 2 semanas solicite una cotizacion para otra empresa que manejo me indicaron que alguien se contactaria conmigo via pero hasta la fecha lo hacen sería tan amable de indicarme si mi requerimiento será atendido??,,Queja,,NP,,
Han trabajado con Modelos de Deserción Cliente en ACTUARIA?,,Consultoria,,,,
Han trabajado en la NIC 12 – Impuestos Diferidos?,,Jubilacion Patronal,,,,
Han trabajado en viabilidad de proyectos?,,Otros servicios,,,,
Hay posiciones abiertas en ACTUARIA?,,trabaje con nosotros,,,,
"he enviado un correo a info@actuaria.com.ec y por este medio, para que me ayuden con una cotizacion para un informe actuarial del 2018 no he recibido respuesta me puede ayudar por este medio? 
mi correo es alvaro.aldas@imetel.com.ec somos 63 trabajadores",,Jubilacion Patronal,empresa,NP,,
"he enviado un correo a info@actuaria.com.ec y por este medio, para que me ayuden con una cotizacion para un informe actuarial del 2018
no he recibido respuesta
me puede ayudar por este medio?
mi correo es alvaro.aldas@imetel.com.ec
somos 63 trabajadores",,Jubilacion Patronal,,,,
herramienta de indicadores,,Otros servicios,,,,
"Herramienta de indicadores para la toma decisiones gerenciales en cuanto a cartera, ventas, gastos, rentabilidad, productividad, entre otros.",,Otros servicios,,,,
hola,,Greeting,,0,,
Hola,,Greeting,,,,
HOLA  NECESITO SABER CUANTO SE HACE DE RETENCION A UDS.,,Facturacion/Retencion/Cobros,,,,
"HOLA 
BUEN DIA UNA CONSULTA",,Greeting,,,,
Hola !,,Greeting,,,,
Hola ayudenme como calculo el despido ineficaz de un persona embarazada y una persona con discapacida    porfavor,,Renuncia/Despido/Desahucio,persona,0,,
HOLA BUEN DIA,,Greeting,,,,
HOLA BUEN DÍA ME AYUDARÍA CON UN CORREO ELECTRÓNICO PARA GENERA LA RETENCIÓN,,Contacto,,,,
Hola buenas tarde,,Greeting,,,,
Hola buenas tarde! Ustedes ofrecen training outdoor?,,Greeting,,,,
hola buenas tardes,,Greeting,,,,
"Hola buenas tardes Daniela, soy Saúl y me gustaría saber si ofrecen determinados servicios de modelado estadístico al respecto, muchas gracias de antemano",,Consultoria,,,,
HOLA BUENAS TARDES RECIBI SU COTIZACION Y EL FORMATO  YA LO TENGO LLENO PERO NO  SE CUAL ES EL VALOR QUE SE DEBE PAGAR POR EL ESTUDIO ACTUARIAL DE NUESTRA EMPRESA  SI ES POR PERSONA  EXPLIQUEME POR FAVOR,,Jubilacion Patronal,,,,
Hola Buenas tardes somos un grupo de jubilados que trabajamos en el iess. No nos están pagando lo que se debería  estamos peleando 4 años y nadie responde. Siempre hay algún pretexto para no pagarnos. Éramos del código de trabajo hay leyes y documentos q respaldan aquello pero no nos hacen caso,,IESS,persona,0,,
HOLA BUENAS TARDES TENGO QUE PAGARLES A Y NO TENGO EL NUMERO DE CUENTA ME AYUDAN POR FAVOR,,Facturacion/Retencion/Cobros,,,,
"hola buenas tardes! 
me puede confirmar el correo para envio de facturas electronicas?",,Contacto,,,,ambivalente
"hola buenas tardes! 
me puede confirmar el correo para envio de facturas electronicas? ",,Facturacion/Retencion/Cobros,,,,ambivalente
"Hola buenas tardes, tengo 20 años trabajando en una empresa privada, se ellos me votan. Cuanto recibiré? Por el despido",,Renuncia/Despido/Desahucio,,,,
"hola buenas tardes. podria indicarme sobre el curso de gestion financiera. gracias 
costo, horario",,Otros servicios,,,,ambivalente
"hola buenas tardes. podria indicarme sobre el curso de gestion financiera. gracias 
costo, horario",,Charlas/Capacitaciones,,,,ambivalente
hola buenastardes,,Greeting,,0,,
Hola buenos dias,,Greeting,,,,
Hola buenos días como calcular un finiquito,,Renuncia/Despido/Desahucio,,,,
Hola buenos días como calcular un finiqyito,,Renuncia/Despido/Desahucio,,,,
HOLA BUENOS DIAS LE ESTOY ENVIANDO EL DEPOSITO DEL ESTUDIO ACTUARIAL Y LA RETENCION  I R  DE e CIA LTDA RUC r,,Facturacion/Retencion/Cobros,,,,
Hola buenos dias lo q pasa esq necesiti ayuda,,Greeting,,,,
Hola buenos días me podrían dar información sobre el la renuncia x desahucio,,Renuncia/Despido/Desahucio,,,,
hola buenos dias mi papa fallecio ya era jubilado el pertenecia al magisterio pero compañeros de el comentaban que firmaron un documento donde si fallecieran les hacian una liquidacion en sesantia no estoy claro si me pueden ayudar respondiendome.,,Renuncia/Despido/Desahucio,,,,
Hola buenos días pueden hacer algún tipo de descuentos ilegales en la liquidación,,Renuncia/Despido/Desahucio,persona,0,,
Hola buenos días una pregunta por despido intempestivo por 8 años de trabajo con el sueldo básico. Cuanto debería resivir de liquidación....,,Renuncia/Despido/Desahucio,persona,0,,
"Hola Buenos Dias
Su ayuda con requisitos y precio para realizar el estudio",,Greeting,,,,
"hola buenos días, Soy Ruth Jaramillo de Textiles Mar y Sol S.A.",,Greeting,empresa,,,
Hola como esta buen dia cuando me puedo jubilar me puede ayudar,,IESS,,,,ambivalente
Hola como esta buen dia cuando me puedo jubilar me puede ayudar,,Jubilacion Patronal,,,,ambivalente
Hola como puedo elaborar mi desahucio,,Renuncia/Despido/Desahucio,,,,
HOLA CUAL SERIA EL VALOR A CANCELARME POR EL TIEMPO DE SERVICIO TRABAJE CINCO AÑOS EL ULTIMO SALARIO ERA DE 375,,Renuncia/Despido/Desahucio,persona,0,,
Hola necesito hacerles una consulta y saber si pueden ayudarme por correo y yo pagaría vía transferencia?,,Contacto,,,,ambivalente
Hola necesito hacerles una consulta y saber si pueden ayudarme por correo y yo pagaría vía transferencia?,,Facturacion/Retencion/Cobros,,,,ambivalente
"Hola Daniela, buenos días. Te escribo desde México, mira, estoy llevando a cabo una investigación sobre que requisitos necesita un actuario para registrar un producto de seguros. No sé si podrías ayudarme a guiarme un poco 
",,Consultoria,persona,0,,
hola donde puedo descargarme las facturas electronicas?,,Facturacion/Retencion/Cobros,,,,
Hola estimada buen dia,,Greeting,,,,
"Hola me gustaría saber si tienen alguna capacitacion vigente con respecto a legislacion laboral, obligaciones societarias afines",,Charlas/Capacitaciones,empresa,0,,
hola me podria explicar mas del tema de machine learning,,Consultoria,persona,0,,
hola me puedes ayudar con informacion sobre capacitaciones en Sguros,,Charlas/Capacitaciones,empresa,0,,
Hola mi nombre es Miguel Fernando Salvatierra Muñoz,,Greeting,,,,
Hola mi nombre es Miguel Fernando Salvatierra Muñoz.,,Greeting,,,,
Hola mi nombre es Víctor loachamin tengo 55 años y tengo 30 años de aportación al iess me puedo jubilarme ya o no todavía,,IESS,,,,
hola muy buen dia... quisiera me ayuden con informacion ya que estoy buscando un curso de capacitacion,,Charlas/Capacitaciones,,,,
HOLA POR FAVOR ME PUEDEN AYUDAR CON LOS NUMERO TELEFÓNICOS DE GUAYAQUIL.,,Contacto,,,,
Hola qué tal ,,Greeting,,,,
hola quiero saber si ustedes pueden ayudarme a hacer todo el trámite para la obtención de mi jubilación patronal.  Crees que es conveniente pedirla a mi empleador o esperar al despido.  Si ustedes no hacen este trámite tienes alguna persona que me recomiendes,,Jubilacion Patronal,,,,
Hola quisiera saber el valor correspondiente de 1 año 6 meses de trabajo y el tiempo de dar la liquidacion,,Renuncia/Despido/Desahucio,,,,
Hola quisiera saber si cuales son las fechas de capacitaciones de talento humano y laboral,,Charlas/Capacitaciones,empresa,0,,
"Hola soy trabajador de una compañia ppr mas de 25 años, me acaban de liquidar,  mi pregunta es, cuanto tengo que recibir por jubilación patronal,???, este valor 3s un monto fijo total o es mensualmente ???",,Jubilacion Patronal,,,,
Hola tengo 32 años de aportaciones  al biess y tengo 57 años de edad y dos meses puedo jubilarme o esperar hasta cumplir los 60 años de edad,,IESS,,,,
Hola Una consulta en que consiste el despido por desausio ,,Renuncia/Despido/Desahucio,persona,0,,
Hola una consulta para que fecha tienen capacitaciones,,Charlas/Capacitaciones,empresa,0,,
hola una pregunta de jubilacion,,IESS,,,,ambivalente
hola una pregunta de jubilacion,,Jubilacion Patronal,,,,ambivalente
Hola una pregunta en que perjudica el acta de finiquito por una liquidación,,Renuncia/Despido/Desahucio,persona,0,,
Hola yo tengo 62 años pero no tengo treinta años aportando sino 5 años me puedo jubilar xf quiero saber,,IESS,,,,ambivalente
Hola yo tengo 62 años pero no tengo treinta años aportando sino 5 años me puedo jubilar xf quiero saber,,Jubilacion Patronal,,,,ambivalente
"Hola
puedo hacer una consulta?",,Greeting,,,,
"hola, actualmente trabajo como tecnico en la cnt mi contrato esta bajo la losep en caso de jubilarme recibiria jubilacion patronal y jubilacion del iess?",,IESS,,,,ambivalente
"hola, actualmente trabajo como tecnico en la cnt mi contrato esta bajo la losep en caso de jubilarme recibiria jubilacion patronal y jubilacion del iess?",,Jubilacion Patronal,,,,ambivalente
"Hola, buenos días",,Greeting,,,,
"Hola, integrar en un único lanzamiento de encuesta la evaluación 360 y el cuestionario de clima sería aconsejable?",,Consultoria,empresa,,,
"Hola, me llamo Isabel Jijon, quería saber si hay opciones de trabajo en ACTUARIA consultores?",,trabaje con nosotros,,,,
"hola, soy afiliado voluntario en el exterior ¿cuantos años tengo que aportar para jubilarme con el 100% ?",,IESS,,,,
"hola, tengo una duda me jubile en el mes de diciembre de 2018, con 57 años de edad y 400 aportaciones, y tengo el 45% de discapacidad, pero el coeficiente de calculo me lo aplican por 300 aportaciones no por las 400 que tengo, ayudeme que procedimiento debería seguir para que me paguen lo justo",,IESS,persona,0,,
"Hola, una persona que laboro como servicio domestico como 30 años esta obligado a recibir la jubilacion patronal.  Muchas gracias",,Jubilacion Patronal,persona,0,,
"Hola, yo trabaje desde el 91 hasta el 99, tengo 52 años he dejado de trabajar 19 años mi pregunta como puedo hacer para tener derecho a la jubilación de el IESS",,IESS,,,,
Hola. Las cuentas por pagar patronales pueden ser pagadas hasta una fecha limite?,,Jubilacion Patronal,,,,
Hola…. Si mis 2 últimas aportaciones fueron sobre un salario básico… Afectaría mi promedio de jubilación de el IESS que era más alto…. Gracias,,IESS,,,,
Información sobre capacitación en jubilación patronal,,Charlas/Capacitaciones,,,,
jubilacion iess,,IESS,,,,
jubilación iess,,IESS,,,,
jubilacion patronal,,Jubilacion Patronal,,,,
jubilación patronal,,Jubilacion Patronal,,,,
jubilacion patronal y de el IESS,,IESS,,,,ambivalente
jubilacion patronal y de el IESS,,Jubilacion Patronal,,,,ambivalente
"La diferencia se debe al ajuste que realizamos, al momento de usar un espectro más grande de límites de cobertura, los parámetros promedio de la base  también cambian, en este caso el límite y deducible promedio de la base cambiaron. Esto se ve reflejado en que la diferencia está entre $1.36 y $9.34 lo cual no es una diferencia significativa sino debido al ajuste que se realiza. 

Estoy pendiente a cualquier duda adicional. ",,Consultoria,,,,
"la empresa requiere el estudio individual de jubilación patronal de un colaborador 
que es gerente",,Jubilacion Patronal,,,,
La hora de la capacitacion mañana por favor,,Charlas/Capacitaciones,,,,
"La inteligencia artificial o, para abreviar, IA, es uno de los grandes objetivos de la informática desde hace muchos años.",,Consultoria,,,,
"La Ley de Seguridad Social vigente señala que tendrán derecho a jubilación de vejez, los afiliados que hayan cumplido los requisitos detallados
en la Tabla 2",,IESS,,,,
"La provision pàra juvilacion patronal y desaucio, todo se va Impuestos Diferidos o solo de quienes tienen menos de 25 años de trabajo ?",,Jubilacion Patronal,,,,ambivalente
"La provision pàra juvilacion patronal y desaucio, todo se va Impuestos Diferidos o solo de quienes tienen menos de 25 años de trabajo ?",,Renuncia/Despido/Desahucio,,,,ambivalente
la raiz sesentava,,IESS,,,,
la tradición presente ,,No Topic,,,,
La.jub. patronal.no tiene derechos solo.en salario.que.le asigne la empresa. Jub del iess.si tiene derechos todos di cumple. 60.anos.y 30 anos en varias empresa. Rdto no es invento se otorga desde mas de 85 anos. Y mas. No es intetpretar sino cumplir la ley,,IESS,,,,ambivalente
La.jub. patronal.no tiene derechos solo.en salario.que.le asigne la empresa. Jub del iess.si tiene derechos todos di cumple. 60.anos.y 30 anos en varias empresa. Rdto no es invento se otorga desde mas de 85 anos. Y mas. No es intetpretar sino cumplir la ley,,Jubilacion Patronal,,,,ambivalente
Las empresas están utilizando la inteligencia artificial ahora más que nunca. Desde los bancos que entrenan IA para facultar a su fuerza de trabajo digital hasta las empresas de telecomunicaciones que establecen chat bots inteligentes para transformar el servicio al cliente,,Consultoria,,,,
"Las estructuras de las unidades lingüísticas del texto son diferentes en cada idioma.

Por ejemplo, en español el adjetivo y el artículo que determina el género y número cambian según el sujeto, mientras que en inglés no se modifican.

Si hablamos de una mujer, un hombre, varias chicas o varios muchachos, diremos que la mujer es delgada, el hombre es delgado, las chicas son delgadas y los muchachos son delgados, lo que demuestra que en español se modifica el género y el número del artículo y el adjetivo de la oración, dependiendo del sujeto del que hablemos.

Además hay una diferencia en la posición en la que se ubican los componentes de la oración en los textos en español.",,No Topic,,,,
Le escribo de la empresa Baltic Reefers. Nos han sido referenciados por uno de nuestros clientes para la elaboracion de un estudio actuarial nos gustaria conocer costos y el tiempo de entrega,,Jubilacion Patronal,empresa,0,,
"le estamos saludando de la compañia vanon sa, quisiera me ayude con una cotización para el estudio actuarial del año 2018. ",,Jubilacion Patronal,,,,
Le felicito su pagina es excelente.,,Hi Five,,,,
"Le felicito su pagina es excelente.Cumplo 65 años en Marzo 2019, tengo 182 aportaciones al IESS y mis 5 mejores años gane $1000 mensuales; cuanto seria el monto de mi juibilacion 
me llamo Magadalena",,IESS,,,,
Le felicito su pagina es muy buena.,,Hi Five,,,,
Le odio a la empresa ACTUARIA,,Queja,,,,
"Le saluda Claudia Camino de ZHM Seguros, nosotros ya trabajamos un estudio actuarial con uds actualmente requiero cotizar un estudio de jubilación patronal de una colaboradora que requiere jubilarse",,Jubilacion Patronal,empresa,0,,
le saluda Mayra Allo de la compañia Vanon sa con Ruc 0992278315001,,Greeting,,,,
le saluda Miguel Zamora le acabe de enviar con correo a la Ventas3 favor para que lea mi correo y me conteste gracias,,Contacto,,0,,
"Le saludo de la firma de auditoria Mackliff Audit Corporation, Queria un estudio actuarial ","Buenos días 
me ayuda con los siguientes datos por favor: ruc, nombre empresa, contacto, cargo, correo y teléfonos ",Jubilacion Patronal,empresa,0,,
Lenin Torres,,No Topic,,,,
"Les estoy enviando un escrito
pidiendo una cotizacion
mi cel 0998408178",,No Topic,,,,
Liquidación por desahucio por 7 años,,Renuncia/Despido/Desahucio,,,,
Me encuentro cesante desde hace dos meses como educador preguntó si tengo el derecho a la pensión patronal vitalicia como docente que fui X 31 años consecutivos el Ministerio de educación,,Jubilacion Patronal,persona,0,,
Me gustarìa saber respecto a la bonificación por desahucio,,Renuncia/Despido/Desahucio,persona,0,,
me gustaria saber si estan necesitando personal,,trabaje con nosotros,,,,
"me gustaría saber si ustedes pueden agendar una cita para mí para la próxima semana, necesito consultar un problema de índole laboral que se me presentó hace algún tiempo.",,No Topic,,,,
Me parece bueno el servicio que dan,,Hi Five,,PP,,
"Me parece bueno el servicio que dan, mi pregunta es: qué puedo hacer para mejorar mi pensión jubilar, puesto que en febrero del 2020 cumplo los 60 años de edad y tengo 451 aportaciones",,IESS,persona,0,,ambivalente
"Me parece bueno el servicio que dan, mi pregunta es: qué puedo hacer para mejorar mi pensión jubilar, puesto que en febrero del 2020 cumplo los 60 años de edad y tengo 451 aportaciones",,Jubilacion Patronal,persona,0,,ambivalente
"me podria ayudar con algun numero y extension para comunicarme con un asesor
y que me indiquen que tendría que hacer el calculo actuarial",,Contacto,,,,
Me podría ayudar que es desahucio,,Renuncia/Despido/Desahucio,,,,
ME PODRIA INDICAR COMO HAGO PARA EL CALCULO DE DE JUBILACION PATRONAL,,Jubilacion Patronal,persona,0,,
Me podria por favor ayudar con algun numero de teléfono para contactarlos aca en gye,,Contacto,,,,
me podrían ayudar con el calculo de mi jubilación patronal ya que voy a cumplir el próximo mes 25 años de servicio ,,Jubilacion Patronal,,,,
me puede ayudar con  un  numero para contactarme,,Contacto,,,,
me puede ayudar con el número de teléfono por favor,,Contacto,,,,
me puede ayudar con un contacto al que me pueda comunicar,,Contacto,,,,
me puede ayudar?,,No Topic,,,,
Me pueden ayudar con informacion de su producto para revalorizar bienes inmuebles?,,Otros servicios,,,,
Me pueden ayudar desarrollando Algoritmos de Venta Cruzada?,,Consultoria,,,,
me puedes ayudar con que entidades de pension salud  tienen en ecuadro,,Consultoria,,,,
"Me quiero quejar, es el colmo su servicio",,Queja,,,,
ME SIENTO ACOSADA EN MI TRABAJO Y CREO QUE ES PORQUE YA TENGO 21 AÑOS TRABAJANDO EN LA MISMA EMPRESA. ES POSIBLE JUBILARME PROPORCIONALMENTE  PATRONALMENTE . ES INSOSTENIBLE Y DESEO SABER CUANTO ME PAGARIAN MENSUAL Y SI PUEDO TRABAJAR EN OTRO LADO LUEGO DE JUBILARME PATRONALMENTE SI ES QUE ES POSIBLE,,Jubilacion Patronal,,,,
Me siento engañado. No recomiendo esta empresa,,Queja,,,,
me trataron pesimo jose repetto me grito y se demoro 5 horas en darme una reserva,,Queja,,,,
